user_id,group,converted,revenue,session_time
0,control,0,0.0,259.845770964047
1,variant,0,0.0,253.89734764112865
2,control,0,0.0,379.28395865503796
3,control,1,148.23579531767467,347.79690300891554
4,control,0,0.0,397.1792043688782
5,variant,1,197.37239765916604,302.77266675788496
6,control,0,0.0,314.3959810623
7,control,0,0.0,286.6404217172356
8,control,0,0.0,285.64588984424955
9,variant,1,179.59355421725346,247.90565337613157
10,control,0,0.0,304.2005095462176
11,control,1,198.43472123567102,260.53767025569016
12,control,0,0.0,322.0954461082101
13,control,0,0.0,308.5005109490105
14,variant,0,0.0,314.3841021837861
15,control,1,114.89637209060538,383.7564969845113
16,variant,0,0.0,298.11410251172043
17,variant,0,0.0,337.8363501426714
18,variant,0,0.0,402.5754732042791
19,control,0,0.0,365.3308534647524
20,variant,0,0.0,357.6584849227422
21,control,0,0.0,284.665589223975
22,variant,0,0.0,311.48215277838983
23,variant,0,0.0,234.0861853985029
24,variant,0,0.0,324.9457200482207
25,variant,0,0.0,313.7230088806921
26,variant,0,0.0,301.1692562578091
27,variant,0,0.0,351.35973941214297
28,variant,0,0.0,239.61125887878018
29,variant,0,0.0,381.7431425580173
30,control,0,0.0,345.08823439701416
31,control,0,0.0,296.4683010174013
32,variant,0,0.0,292.5635206091303
33,variant,0,0.0,324.03056076242973
34,variant,0,0.0,376.042561603189
35,control,0,0.0,305.08038593450055
36,variant,0,0.0,307.20154509896133
37,control,0,0.0,300.9059238812936
38,control,0,0.0,389.1012056350736
39,control,0,0.0,281.5558448531488
40,control,0,0.0,298.5246200690464
41,control,0,0.0,373.1717827130497
42,variant,0,0.0,307.3505416806432
43,variant,1,82.6593551370537,356.8529430022761
44,variant,0,0.0,254.4359971548521
45,variant,0,0.0,289.7353739185743
46,variant,0,0.0,374.22170192201145
47,control,0,0.0,266.18301421182275
48,variant,0,0.0,292.43504801151465
49,variant,0,0.0,312.8342615445739
50,control,0,0.0,250.54227410035065
51,variant,0,0.0,279.30949406890517
52,control,0,0.0,305.63183409128203
53,variant,0,0.0,302.3340867080981
54,control,0,0.0,364.0176010418568
55,variant,0,0.0,377.07285974161266
56,variant,0,0.0,257.19575639995446
57,control,0,0.0,305.56342595837447
58,control,0,0.0,333.7124154212383
59,control,0,0.0,375.81737328995985
60,control,0,0.0,335.92451486585645
61,control,0,0.0,314.54567007961657
62,control,0,0.0,333.32712659913153
63,control,0,0.0,333.688441716813
64,control,0,0.0,253.61428538578159
65,variant,1,166.86562810079698,309.63993962531345
66,variant,1,158.7183951793153,372.9580497094346
67,control,0,0.0,289.6321615652998
68,variant,0,0.0,306.4723321273722
69,variant,0,0.0,287.8741775236989
70,variant,0,0.0,184.30702521965625
71,variant,0,0.0,301.029508861734
